license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0322-10990,12 Hours LLC,,Retail Trade,2025-02-17 23:04:24.210,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,387 Cleveland Ave Sw,STE 2,,,,Atlanta,GA,30315,387 Cleveland Ave Sw STE 2 nan Atlanta GA 30315,"387 Cleveland Ave SW, Suite 2, Atlanta, Georgia, 30315",-84.402154304274,33.681606996656,True,12,X,12 hours llc,,12 hours llc 
GBL-0422-12172,MAULIA INC,QUICKPICK FOODMART,Retail Trade,2025-02-13 09:12:26.570,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,1634,LAKEWOOD,Avenue,SE,,Atlanta,GA,,1634 LAKEWOOD Avenue Atlanta GA nan,"1634 Lakewood Ave SE, Atlanta, Georgia, 30315",-84.379616372464,33.709643876045,True,1,Y,maulia inc,quickpick foodmart,maulia inc quickpick foodmart
GBL-0424-30054,Lee Street Meats LLC,,Accommodation and Food Services,2025-02-14 13:05:54.940,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,1265,LEE,Street,SW,,Atlanta,GA,30310,1265 LEE Street Atlanta GA 30310,"1265 Lee St SW, Atlanta, Georgia, 30310",-84.424564831157,33.720616457854,True,4,S,lee street meats llc,,lee street meats llc 
GBL-0522-13828,"HANK AARON GROCERY, LLC",HANK AARON GROCERY,Retail Trade,2025-02-04 10:06:47.547,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,SE,834 HANK AARON DRIVE,,,,,ATLANTA,GA,30315,834 HANK AARON DRIVE nan nan ATLANTA GA 30315,"834 Hank Aaron Dr SE, Atlanta, Georgia, 30315",-84.387655204343,33.732038603039,False,1,V,"hank aaron grocery, llc",hank aaron grocery,"hank aaron grocery, llc hank aaron grocery"
GBL-0622-14209,NEIGHBORHOOD 2070 INC,NEIGHBORHOOD GROCERY,Retail Trade,2025-01-29 09:35:37.353,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,2070 ALISON CT SW,,,,,ATLANTA,GA,30311,2070 ALISON CT SW nan nan ATLANTA GA 30311,"2070 Alison Ct SW, Atlanta, Georgia, 30311",-84.456471635241,33.700385141978,True,11,R,neighborhood 2070 inc,neighborhood grocery,neighborhood 2070 inc neighborhood grocery
GBL-0622-14433,Yunny LLC,City Produce,Other Services except Public Administration,2025-01-25 15:06:20.940,445230.0,Fruit and Vegetable Markets ,,209,EDGEWOOD,Avenue,SE,,Atlanta,GA,,209 EDGEWOOD Avenue Atlanta GA nan,"209 Edgewood Ave SE, Atlanta, Georgia, 30303",-84.379880150957,33.754046672841,False,5,M,yunny llc,city produce,yunny llc city produce
GBL-0722-15034,"Midtown Pantry, LLC",O4W Town Pantry,Retail Trade,2025-02-14 11:06:33.157,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,536 Decatur,,ST,SE,,Atlanta,GA,30312,536 Decatur nan ST Atlanta GA 30312,"536 Decatur St SE, Atlanta, Georgia, 30312",-84.370127387517,33.752091635834,False,2,M,"midtown pantry, llc",o4w town pantry,"midtown pantry, llc o4w town pantry"
GBL-0722-15096,SH PRODUCE-MARKET LLC,SH PRODUCE,Retail Trade,2025-01-25 15:05:29.460,445230.0,Fruit and Vegetable Markets ,,209,EDGEWOOD,Avenue,SE,,Atlanta,GA,,209 EDGEWOOD Avenue Atlanta GA nan,"209 Edgewood Ave SE, Atlanta, Georgia, 30303",-84.379880150957,33.754046672841,False,5,M,sh produce-market llc,sh produce,sh produce-market llc sh produce
GBL-0821-06193,ARABI 2015 INC,WELCOME FOODMART,Retail Trade,2025-02-11 09:05:49.050,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,730,BARNETT,ST,NE,,Atlanta,GA,,730 BARNETT ST Atlanta GA nan,"730 Barnett St NE, Atlanta, Georgia, 30306",-84.359016839582,33.774426851317,False,6,F,arabi 2015 inc,welcome foodmart,arabi 2015 inc welcome foodmart
GBL-0821-06207,LMN MART INC,LMN MART,Retail Trade,2025-02-11 09:07:09.400,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,2489 JONESBORO,,RD,SE,,ATLANTA,GA,30315,2489 JONESBORO nan RD ATLANTA GA 30315,"2489 Jonesboro Rd SE, Atlanta, Georgia, 30315",-84.364860534838,33.686000371206,True,1,Z,lmn mart inc,lmn mart,lmn mart inc lmn mart
GBL-0824-32369,BROTHERS INVESTMENT 2024 LLC,CONLEY FOOD MART,Retail Trade,2025-02-12 09:06:50.957,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,807,CONLEY,Road,SE,,Atlanta,GA,,807 CONLEY Road Atlanta GA nan,"807 Conley Rd SE, Atlanta, Georgia, 30354",-84.363385319879,33.648380629555,True,12,Z,brothers investment 2024 llc,conley food mart,brothers investment 2024 llc conley food mart
GBL-0923-23285,Rhinehart Farms LLC,,Accommodation and Food Services,2025-02-15 18:36:29.470,445230.0,Fruit and Vegetable Markets ,,2176,COUNTY LINE,RD,SW,,Atlanta,GA,30311,2176 COUNTY LINE RD Atlanta GA 30311,"2176 County Line Rd SW, Atlanta, Georgia, 30331",-84.534369271497,33.695270127475,True,11,P,rhinehart farms llc,,rhinehart farms llc 
GBL-1023-23851,MD STORE LLC,,Retail Trade,2025-02-13 09:13:20.127,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,SW,812 RALPH DAVID ABERNATHY ,,BLVD,SW,,ATLANTA,GA,30310,812 RALPH DAVID ABERNATHY  nan BLVD ATLANTA GA 30310,"812 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30310",-84.41442482379,33.738051864197,False,4,T,md store llc,,md store llc 
